Game ID,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2023-02-25,19:30,MLS,Regular Season,Sat,Away,W,3,2,Austin,2,1.5,41,20738,Roman Bürki,4-2-3-1,Allen Chapman,Match Report,
1,2023-03-04,19:30,MLS,Regular Season,Sat,Home,W,3,1,Charlotte,1.7,0.7,40,22423,Roman Bürki,4-4-2,Ted Unkel,Match Report,
2,2023-03-11,19:30,MLS,Regular Season,Sat,Away,W,2,1,Portland Timbers,0.8,1,48,23386,Roman Bürki,4-2-3-1,Víctor Rivas,Match Report,
3,2023-03-18,19:30,MLS,Regular Season,Sat,Home,W,3,0,San Jose,2.1,1.9,45,22423,Roman Bürki,4-4-2,R. Mendoza,Match Report,
4,2023-03-25,19:30,MLS,Regular Season,Sat,Away,W,4,0,Real Salt Lake,1.6,1.3,39,19508,Roman Bürki,4-4-2,Mark Allatin,Match Report,
5,2023-04-01,19:30,MLS,Regular Season,Sat,Home,L,0,1,Minnesota Utd,0.9,1.8,54,22423,Roman Bürki,4-4-2,Jon Freemon,Match Report,
6,2023-04-08,19:30,MLS,Regular Season,Sat,Away,L,0,3,Seattle,0.6,1.8,40,31789,Roman Bürki,5-3-2,Rubiel Vázquez,Match Report,
7,2023-04-15,19:30,MLS,Regular Season,Sat,Home,W,5,1,FC Cincinnati,1.7,1.4,42,22423,Roman Bürki,4-4-2,Lukasz Szpala,Match Report,
8,2023-04-22,19:30,MLS,Regular Season,Sat,Away,D,1,1,Colorado Rapids,1.1,3.2,44,15045,Roman Bürki,4-4-2,Marcos de Oliveira,Match Report,
9,2023-04-29,19:30,MLS,Regular Season,Sat,Home,L,1,2,Portland Timbers,0.9,1.7,52,22423,Roman Bürki,4-4-2,Ismail Elfath,Match Report,
10,2023-05-13,12:00,MLS,Regular Season,Sat,Away,L,0,1,Chicago Fire,0.5,0.9,49,18231,Roman Bürki,4-2-3-1,Filip Dujic,Match Report,
11,2023-05-20,20:30,MLS,Regular Season,Sat,Home,W,4,0,Sporting KC,1.5,1.6,34,22423,Roman Bürki,4-2-3-1,Chris Penso,Match Report,
12,2023-05-27,19:30,MLS,Regular Season,Sat,Home,W,3,1,Vancouver,0.9,1.4,38,22423,Roman Bürki,4-2-3-1,Sergii Boiko,Match Report,
13,2023-06-03,19:30,MLS,Regular Season,Sat,Home,W,3,0,Dynamo FC,2.3,1.4,48,22423,Roman Bürki,4-2-3-1,Joe Dickerson,Match Report,
14,2023-06-07,19:30,MLS,Regular Season,Wed,Away,L,0,2,FC Dallas,0.8,1.1,52,,Roman Bürki,4-1-2-1-2?,Drew Fischer,Match Report,
15,2023-06-11,12:00,MLS,Regular Season,Sun,Home,D,1,1,LA Galaxy,1.9,1.4,46,22423,Roman Bürki,4-2-3-1,Víctor Rivas,Match Report,
16,2023-06-17,19:30,MLS,Regular Season,Sat,Away,L,1,3,Nashville,1.6,2.2,49,30109,Roman Bürki,4-1-2-1-2?,Nima Saghafi,Match Report,
17,2023-06-21,19:30,MLS,Regular Season,Wed,Home,L,1,3,Real Salt Lake,0.7,1,48,22423,Roman Bürki,4-2-3-1,Lukasz Szpala,Match Report,
18,2023-06-24,19:30,MLS,Regular Season,Sat,Away,W,2,1,San Jose,1.7,1.4,36,15074,Roman Bürki,4-1-2-1-2?,Marcos de Oliveira,Match Report,
19,2023-07-01,19:30,MLS,Regular Season,Sat,Home,W,2,0,Colorado Rapids,2.5,0.6,40,22423,Roman Bürki,4-3-1-2,Fotis Bazakos,Match Report,
20,2023-07-08,19:30,MLS,Regular Season,Sat,Away,W,1,0,Toronto FC,1.4,0.5,38,26156,Roman Bürki,4-1-2-1-2?,Filip Dujic,Match Report,
21,2023-07-12,19:30,MLS,Regular Season,Wed,Away,L,0,3,Los Angeles FC,0.3,1.6,41,22010,Roman Bürki,4-4-1-1,Joe Dickerson,Match Report,
22,2023-07-15,19:30,MLS,Regular Season,Sat,Home,W,3,0,Inter Miami,1.4,0.6,37,22423,Roman Bürki,4-1-2-1-2?,Lukasz Szpala,Match Report,
23,2023-08-20,20:30,MLS,Regular Season,Sun,Home,W,6,3,Austin,1.7,3.2,44,22423,Roman Bürki,4-4-1-1,Tim Ford,Match Report,
24,2023-08-26,19:30,MLS,Regular Season,Sat,Away,L,1,2,Orlando City,0.7,1.6,44,22156,Roman Bürki,4-1-2-1-2?,Joe Dickerson,Match Report,
25,2023-08-30,19:30,MLS,Regular Season,Wed,Home,W,2,1,FC Dallas,1.1,1.4,64,22423,Roman Bürki,4-2-3-1,Guido Gonzalez,Match Report,
26,2023-09-02,19:30,MLS,Regular Season,Sat,Away,L,1,2,Sporting KC,0.3,1.7,42,21650,Roman Bürki,4-2-3-1,Allen Chapman,Match Report,
27,2023-09-10,17:00,MLS,Regular Season,Sun,Away,D,2,2,LA Galaxy,0.7,2.2,31,19554,Roman Bürki,4-4-2,Filip Dujic,Match Report,
28,2023-09-16,19:30,MLS,Regular Season,Sat,Away,D,1,1,Dynamo FC,1.3,1.2,36,14369,Roman Bürki,4-2-3-1,Ismir Pekmic,Match Report,
29,2023-09-20,19:30,MLS,Regular Season,Wed,Home,D,0,0,Los Angeles FC,0.6,0.7,52,22423,Roman Bürki,4-3-1-2,Rubiel Vázquez,Match Report,
30,2023-09-23,19:30,MLS,Regular Season,Sat,Away,W,2,1,Minnesota Utd,1.3,2.1,44,19197,Roman Bürki,4-2-3-1,Víctor Rivas,Match Report,
31,2023-09-30,19:30,MLS,Regular Season,Sat,Home,W,4,1,Sporting KC,2.8,1.5,46,22423,Roman Bürki,4-4-2,Armando Villarreal,Match Report,
32,2023-10-04,19:30,MLS,Regular Season,Wed,Away,L,0,3,Vancouver,0.3,1.5,46,13776,Tim Parker,4-2-3-1,Pierre-Luc Lauzière,Match Report,
33,2023-10-21,20:00,MLS,Regular Season,Sat,Home,L,0,2,Seattle,0.6,1.1,52,22423,Roman Bürki,4-2-2-2,Jair Marrufo,Match Report,
